Date,market_ret,breadth,market_anomaly_flag
2019-05-08,0.0007788019330309537,0.5,0
2019-05-09,-0.01040103416192964,0.0,1
2019-05-10,-0.003530226330872438,0.25,1
2019-05-13,-0.04622202913466408,0.0,1
2019-05-14,0.014810835001760725,1.0,0
2019-05-15,0.006935754624731644,0.75,0
2019-05-16,0.010494577369058594,0.75,0
2019-05-17,-0.013854812144000528,0.0,1
2019-05-20,-0.02040471383493475,0.0,1
2019-05-21,0.011397650085209654,0.75,0
2019-05-22,-0.007921394210759658,0.5,0
2019-05-23,-0.02114275789659903,0.0,1
2019-05-24,-0.003449659602498434,0.5,0
2019-05-28,-0.0025236942430551523,0.25,1
2019-05-29,-0.011172100077278202,0.0,1
2019-05-30,0.000574787112823244,0.5,0
2019-05-31,-0.020842290022348747,0.0,1
2019-06-03,-0.024992504834089435,0.0,1
2019-06-04,0.03874720701719109,1.0,1
2019-06-05,0.0077408113958796765,0.75,0
2019-06-06,0.014328746845327589,1.0,0
2019-06-07,0.023725012079345187,1.0,0
2019-06-10,0.01835590308262397,1.0,0
2019-06-11,0.006272292525357409,0.75,0
2019-06-12,-0.01061976462054623,0.0,1
2019-06-13,0.007067594252097187,0.75,0
2019-06-14,-0.00775827203449983,0.25,1
2019-06-17,0.0051082683688052355,1.0,0
2019-06-18,0.025791668458099215,1.0,0
2019-06-19,0.0016177585959327445,0.75,0
2019-06-20,0.0071614936148621244,1.0,0
2019-06-21,-0.005509964882628726,0.25,1
2019-06-24,0.0030495764937236713,0.75,0
2019-06-25,-0.018268960946860507,0.0,1
2019-06-26,0.021787517847924043,1.0,0
2019-06-27,0.007417202684084995,0.75,0
2019-06-28,-0.00249859795769361,0.25,1
2019-07-01,0.01451881962392998,1.0,0
2019-07-02,-0.0012294147061729377,0.75,0
2019-07-03,0.005090020778293902,1.0,0
2019-07-05,-0.004314487205895251,0.25,1
2019-07-08,-0.008837043021955399,0.25,1
2019-07-09,0.005378583814589694,0.75,0
2019-07-10,0.013049216503185912,1.0,0
2019-07-11,0.0068670246463493345,0.5,0
2019-07-12,0.006064131460762068,1.0,0
2019-07-15,0.0030835162317915665,0.5,0
2019-07-16,-0.005796547276576219,0.0,1
2019-07-17,-0.0011705715414725426,0.25,1
2019-07-18,0.0020341587272491024,0.75,0
2019-07-19,-0.007612710005776763,0.25,1
2019-07-22,0.015986542575322504,1.0,0
2019-07-23,0.010956258187964585,1.0,0
2019-07-24,0.0074249226761966824,0.75,0
2019-07-25,-0.013679116949793457,0.0,1
2019-07-26,0.0014598620418794506,0.75,0
2019-07-29,-0.0025078252149568214,0.25,1
2019-07-30,-0.0031971932623901245,0.25,1
2019-07-31,-0.015936962450012443,0.25,1
2019-08-01,-0.009291289548256282,0.25,1
2019-08-02,-0.017367027212689345,0.0,1
2019-08-05,-0.04574955640073247,0.0,1
2019-08-06,0.015223559323608749,1.0,0
2019-08-07,0.006989848260040621,1.0,0
2019-08-08,0.0247894793704036,1.0,0
2019-08-09,-0.014081369352283463,0.0,1
2019-08-12,-0.01168065617602837,0.0,1
2019-08-13,0.028875117101097414,1.0,1
2019-08-14,-0.032961406468543814,0.0,1
2019-08-15,-0.002104666647962994,0.25,1
2019-08-16,0.030928016766077426,1.0,1
2019-08-19,0.029712185786657352,1.0,0
2019-08-20,-0.008354236854883262,0.25,1
2019-08-21,0.013575626641519123,1.0,0
2019-08-22,-0.004254297174321575,0.25,1
2019-08-23,-0.040324758365588825,0.0,1
2019-08-26,0.015993698911462073,1.0,0
2019-08-27,-0.008795943390132649,0.25,1
2019-08-28,0.0010398977422919897,0.5,0
2019-08-29,0.021055725272038694,1.0,0
2019-08-30,-0.0014448775438323513,0.25,1
2019-09-03,-0.01001912898557819,0.25,1
2019-09-04,0.015659049946706693,1.0,0
2019-09-05,0.031116953730104258,1.0,1
2019-09-06,-0.004214603346884005,0.0,1
2019-09-09,0.000521460245503258,0.5,0
2019-09-10,0.0025730408677807626,0.5,0
2019-09-11,0.009926785219032619,1.0,0
2019-09-12,0.004750419927328137,0.5,0
2019-09-13,-0.008959127400113787,0.0,1
2019-09-16,-0.007146664434649841,0.25,1
2019-09-17,0.006080601711312417,1.0,0
2019-09-18,0.002197805213489251,0.5,0
2019-09-19,-0.001095955592808645,0.5,0
2019-09-20,-0.016300425475298225,0.0,1
2019-09-23,0.002476816157991363,0.5,0
2019-09-24,-0.013772062707838956,0.0,1
2019-09-25,0.019545491205992527,1.0,0
2019-09-26,-0.006242717670969178,0.25,1
2019-09-27,-0.01439327028571194,0.0,1
2019-09-30,0.013121335072449669,1.0,0
2019-10-01,-0.002970339134401506,0.25,1
2019-10-02,-0.015289450105796937,0.0,1
2019-10-03,0.01873103712001878,1.0,0
2019-10-04,0.013501376778248753,1.0,0
2019-10-07,0.00048285389850805105,0.5,0
2019-10-08,-0.01911927254096152,0.0,1
2019-10-09,0.014990386349045537,1.0,0
2019-10-10,0.007883250832988437,0.75,0
2019-10-11,0.01342954240730948,1.0,0
2019-10-14,0.0007843473934245615,0.5,0
2019-10-15,0.02068004585004049,0.75,0
2019-10-16,-0.00438604230002726,0.25,1
2019-10-17,0.0012052423007880009,0.75,0
2019-10-18,-0.011961002400315307,0.25,1
2019-10-21,0.017440140518268754,1.0,0
2019-10-22,-0.007592439456785449,0.0,1
2019-10-23,0.0037810414653469404,0.5,0
2019-10-24,0.010238028078999317,1.0,0
2019-10-25,0.011512917127647182,0.75,0
2019-10-28,0.01363639895960539,1.0,0
2019-10-29,-0.014840225065994667,0.0,1
2019-10-30,0.005634117714823084,0.75,0
2019-10-31,0.0006025511673622141,0.25,1
2019-11-01,0.011737806906755965,1.0,0
2019-11-04,0.014691562701263539,1.0,0
2019-11-05,-0.001980546537253103,0.0,1
2019-11-06,-0.003771083498420119,0.25,1
2019-11-07,0.003033384702106734,0.75,0
2019-11-08,0.0026339979932724633,0.5,0
2019-11-11,0.0007258637198330475,0.75,0
2019-11-12,0.004027100696025909,0.75,0
2019-11-13,-0.001936752172504136,0.5,0
2019-11-14,0.0012177622291039136,0.75,0
2019-11-15,-0.0026313367419484868,0.5,0
2019-11-18,0.013656430019186039,1.0,0
2019-11-19,-0.005690206529736508,0.5,0
2019-11-20,-0.0005452238561447498,0.25,1
2019-11-21,-0.004088311972530317,0.0,1
2019-11-22,0.002395771296779564,0.75,0
2019-11-25,0.02338512918818153,1.0,1
2019-11-26,-0.002131969274399015,0.5,0
2019-11-27,0.008449987978556173,1.0,0
2019-11-29,-0.006246463589592827,0.0,1
2019-12-02,-0.017217649583238404,0.0,1
2019-12-03,-0.008391699477148684,0.0,1
2019-12-04,0.0039202038392570915,0.75,0
2019-12-05,0.0001198309571920908,0.5,0
2019-12-06,0.01356905708129763,1.0,0
2019-12-09,-0.0044408238986928805,0.0,1
2019-12-10,0.0017420987117100217,0.5,0
2019-12-11,0.008367864746528952,1.0,0
2019-12-12,0.012576093684943501,1.0,0
2019-12-13,0.005500206401439195,0.75,0
2019-12-16,0.008366043764835296,1.0,0
2019-12-17,0.0056587253186397846,0.75,0
2019-12-18,-0.0007041238207511902,0.25,1
2019-12-19,0.01005763816515437,1.0,0
2019-12-20,0.005556814223776019,0.5,0
2019-12-23,0.0044147747522463865,0.5,0
2019-12-24,-0.0005478102498747139,0.25,1
2019-12-26,0.01872312163137746,1.0,0
2019-12-27,-0.0019250308934532778,0.5,0
2019-12-30,-0.008536194937616343,0.25,1
2019-12-31,0.005336475786021644,1.0,0
2020-01-02,0.02201880507201831,1.0,1
2020-01-03,-0.012579711222299478,0.0,1
2020-01-06,0.0074080684176420775,1.0,0
2020-01-07,9.436921954586452e-05,0.5,0
2020-01-08,0.006520358965501433,0.75,0
2020-01-09,0.012378940650030812,1.0,0
2020-01-10,-0.0016069120078103516,0.5,0
2020-01-13,0.017265874930894487,1.0,0
2020-01-14,-0.012689210822705826,0.0,1
2020-01-15,-0.002173382384790923,0.25,1
2020-01-16,0.013270488825705362,1.0,0
2020-01-17,0.0027585526908777414,0.75,0
2020-01-21,-0.0002783877961362591,0.25,1
2020-01-22,0.0012793243996772063,0.5,0
2020-01-23,0.005110212770702838,0.75,0
2020-01-24,-0.00863590663776928,0.0,1
2020-01-27,-0.026264295255426173,0.0,1
2020-01-28,0.0234644261619944,1.0,1
2020-01-29,0.007322137332395534,0.75,0
2020-01-30,0.008670687215084932,0.75,0
2020-01-31,-0.005866418010137958,0.25,1
2020-02-03,0.008969431601544259,0.5,0
2020-02-04,0.02922800133122544,1.0,1
2020-02-05,0.0042100823172952495,0.5,0
2020-02-06,0.0128568003236747,1.0,0
2020-02-07,-0.0021174430528576593,0.5,0
2020-02-10,0.025603053009265186,1.0,1
2020-02-11,-0.0004960411801123166,0.5,0
2020-02-12,0.011711734038779287,1.0,0
2020-02-13,-0.005920636867529222,0.0,1
2020-02-14,0.01810022528038724,0.75,0
2020-02-18,0.00624288416830851,0.75,0
2020-02-19,0.021340960992276337,1.0,0
2020-02-20,-0.013121148244042286,0.0,1
2020-02-21,-0.03204345489803967,0.0,1
2020-02-24,-0.05066722747958463,0.0,1
2020-02-25,-0.027414481620826714,0.0,1
2020-02-26,0.013300171354490298,1.0,0
2020-02-27,-0.05990723883701643,0.0,1
2020-02-28,0.023124193751790062,0.5,0
2020-03-02,0.05511382022796801,1.0,1
2020-03-03,-0.035204354694689854,0.0,1
2020-03-04,0.04703547773031863,1.0,1
2020-03-05,-0.030796323012896143,0.0,1
2020-03-06,-0.019999725475025404,0.0,1
2020-03-09,-0.06928762643677822,0.0,1
2020-03-10,0.06369571789004813,1.0,1
2020-03-11,-0.0433752806475505,0.0,1
2020-03-12,-0.09879540372660323,0.0,1
2020-03-13,0.11000688068345882,1.0,1
2020-03-16,-0.12856389770017596,0.0,1
2020-03-17,0.07570886135197302,1.0,1
2020-03-18,-0.030206332474846026,0.25,1
2020-03-19,0.0216665000303847,0.75,0
2020-03-20,-0.03836713299567704,0.0,1
2020-03-23,0.008311685854289624,0.5,0
2020-03-24,0.09559298886127676,1.0,1
2020-03-25,-0.014333957592584684,0.0,1
2020-03-26,0.0498540127616795,1.0,0
2020-03-27,-0.03208017379334044,0.0,1
2020-03-30,0.04584161343430959,1.0,0
2020-03-31,-0.008126596069992414,0.0,1
